,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,15,15,456,345,1158,682
1,28,48,20,1158,682,1222,636
2,48,62,14,1222,636,1251,596
3,62,73,11,1251,596,1324,528
4,73,92,19,1324,528,1206,466
5,99,111,12,1206,466,235,378
6,118,155,37,235,378,193,370
7,155,169,14,193,370,279,368
