,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,19,31,12,526,340,616,326
1,31,44,13,616,326,699,321
2,44,59,15,699,321,823,323
3,64,84,20,823,323,1178,626
4,90,114,24,1178,626,1236,577
5,114,129,15,1236,577,1286,513
6,129,158,29,1286,513,1277,426
7,158,176,18,1277,426,346,299
