,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,52,52,260,448,306,449
1,52,64,12,306,449,388,448
2,64,79,15,388,448,531,449
3,82,96,14,531,449,673,440
4,100,111,11,673,440,733,426
5,111,125,14,733,426,791,407
6,125,136,11,791,407,833,424
7,136,151,15,833,424,769,354
8,154,165,11,769,354,818,334
9,165,184,19,818,334,879,331
