,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,14,14,1183,574,1249,529
1,14,26,12,1249,529,1392,441
2,37,55,18,1392,441,459,465
3,70,81,11,459,465,384,439
4,81,102,21,384,439,318,434
5,102,131,29,318,434,387,445
6,131,148,17,387,445,451,455
7,148,159,11,451,455,511,437
8,159,170,11,511,437,894,499
