,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,10,10,553,363,447,339
1,33,50,17,447,339,1151,783
2,68,81,13,1151,783,1188,753
3,81,96,15,1188,753,1258,701
4,96,110,14,1258,701,1321,632
5,110,132,22,1321,632,1196,575
6,135,152,17,1196,575,1209,513
7,152,168,16,1209,513,374,415
