,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,10,10,1192,525,1261,496
1,10,22,12,1261,496,1286,436
2,22,40,18,1286,436,1232,368
3,40,56,16,1232,368,1238,309
4,56,66,10,1238,309,1252,214
5,66,91,25,1252,214,761,387
6,95,112,17,761,387,810,350
7,112,135,23,810,350,933,373
8,138,148,10,933,373,1027,391
9,153,170,17,1027,391,1077,403
10,170,185,15,1077,403,1165,393
