,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,55,55,234,313,249,353
1,55,79,24,249,353,249,51
2,79,97,18,249,51,319,49
3,97,114,17,319,49,1161,725
4,129,146,17,1161,725,1203,681
5,146,163,17,1203,681,1201,614
6,163,180,17,1201,614,1244,570
