StartTime,EndTime,Duration,X,Y
0,12,12,354,374
12,24,12,399,385
24,42,18,219,230
42,56,14,257,259
56,71,15,253,300
71,72,1,466,372
72,73,1,652,496
73,74,1,784,580
74,75,1,892,643
75,77,2,996,698
77,79,2,1080,717
79,103,24,1170,696
103,115,12,1237,660
115,121,6,1278,625
121,134,13,1334,578
134,148,14,1270,533
148,156,8,1314,495
156,162,6,1345,452
162,163,1,968,400
163,164,1,724,366
164,165,1,553,350
165,166,1,433,344
166,168,2,318,337
168,170,2,235,330
170,187,17,201,307
187,190,3,210,276
190,196,6,163,383
196,199,3,208,322
199,200,1,241,311
