,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,20,20,425,375,453,365
1,20,45,25,453,365,519,371
2,45,57,12,519,371,574,365
3,57,68,11,574,365,630,380
4,68,78,10,630,380,702,387
5,78,100,22,702,387,536,453
6,100,114,14,536,453,574,429
7,114,126,12,574,429,610,427
8,126,137,11,610,427,748,429
9,142,158,16,748,429,875,430
10,162,177,15,875,430,935,422
