,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,8,23,15,1128,793,1184,732
1,23,45,22,1184,732,1211,681
2,45,55,10,1211,681,251,543
3,66,77,11,251,543,227,577
4,77,91,14,227,577,218,618
5,91,109,18,218,618,213,611
