,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,7,17,10,1366,487,1231,445
1,20,34,14,1231,445,1264,365
2,34,55,21,1264,365,161,67
3,83,110,27,161,67,221,36
4,110,148,38,221,36,942,100
