,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,11,11,339,318,499,342
1,17,31,14,499,342,565,343
2,31,44,13,565,343,630,333
3,44,57,13,630,333,693,324
4,57,70,13,693,324,716,337
5,70,88,18,716,337,830,326
6,88,104,16,830,326,902,342
7,104,121,17,902,342,983,354
8,121,132,11,983,354,1060,364
9,132,146,14,1060,364,1174,342
10,150,165,15,1174,342,1242,338
11,165,176,11,1242,338,1287,342
