,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,12,12,1192,416,1159,697
1,18,40,22,1159,697,1205,640
2,40,56,16,1205,640,1378,537
3,69,81,12,1378,537,1197,514
4,83,102,19,1197,514,1197,458
5,102,114,12,1197,458,1232,401
6,114,130,16,1232,401,729,401
7,153,176,23,729,401,706,390
