,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,11,11,284,713,289,738
1,11,37,26,289,738,660,717
2,45,55,10,660,717,895,706
3,66,84,18,895,706,1023,712
4,88,98,10,1023,712,465,512
5,106,129,23,465,512,1153,777
6,143,162,19,1153,777,1195,691
7,169,182,13,1195,691,1229,637
