,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,5,29,24,307,352,377,355
1,29,53,24,377,355,426,350
2,53,75,22,426,350,1142,444
3,75,85,10,1142,444,1202,448
4,85,102,17,1202,448,1127,823
5,108,123,15,1127,823,1193,756
6,123,141,18,1193,756,1272,679
7,141,166,25,1272,679,1297,627
8,166,181,15,1297,627,346,431
