,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,22,22,1211,568,1285,474
1,25,41,16,1285,474,348,616
2,57,96,39,348,616,401,628
3,96,113,17,401,628,485,616
4,113,127,14,485,616,535,612
5,127,143,16,535,612,453,560
6,143,158,15,453,560,424,543
7,158,170,12,424,543,313,373
8,170,181,11,313,373,361,370
