,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,16,26,10,239,339,1162,769
1,46,62,16,1162,769,1218,714
2,62,76,14,1218,714,1331,619
3,84,102,18,1331,619,1383,558
4,102,123,21,1383,558,1314,499
5,123,137,14,1314,499,220,312
6,154,172,18,220,312,190,353
7,172,190,18,190,353,230,357
