,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,0,29,29,249,617,538,722
1,29,50,21,538,722,1160,773
2,73,90,17,1160,773,1204,728
3,90,100,10,1204,728,1221,652
4,100,128,28,1221,652,1206,573
5,128,144,16,1206,573,1193,506
6,144,169,25,1193,506,340,781
7,175,187,12,340,781,295,737
