StartTime,EndTime,Duration,X,Y
0,10,10,1001,188
10,25,15,1069,181
25,40,15,1162,153
40,44,4,1199,188
44,62,18,715,378
62,73,11,781,401
73,77,4,836,388
77,90,13,901,371
90,99,9,980,358
99,106,7,1023,364
106,124,18,1086,388
124,138,14,1150,390
138,140,2,1101,525
140,142,2,1077,615
142,145,3,1071,659
145,147,2,1134,567
147,167,20,1152,499
167,174,7,1204,444
174,185,11,1254,420
185,205,20,1305,402
205,208,3,1335,370
208,211,3,1292,340
211,214,3,1242,308
214,216,2,1187,302
216,223,7,1144,290
223,249,26,1174,230
249,265,16,1198,182
265,291,26,1199,148
291,292,1,1161,164
292,293,1,1001,218
293,294,1,884,276
294,295,1,788,335
295,297,2,669,392
297,300,3,580,450
300,308,8,539,468
308,310,2,580,458
310,322,12,154,567
322,334,12,206,563
334,338,4,261,585
338,350,12,353,590
350,351,1,426,589
351,352,1,622,638
352,353,1,757,665
353,354,1,856,684
354,356,2,959,708
356,357,1,1036,715
357,359,2,1135,736
359,366,7,1249,740
366,373,7,1272,692
373,375,2,1214,695
375,377,2,1163,701
377,387,10,1124,690
387,405,18,1166,660
405,412,7,1179,625
412,417,5,1255,580
417,420,3,1202,546
420,439,19,1135,480
439,442,3,1142,435
442,443,1,1181,608
443,444,1,903,651
444,446,2,679,681
446,448,2,602,713
448,450,2,492,679
450,455,5,384,633
455,471,16,343,614
471,474,3,391,597
474,490,16,458,579
490,503,13,515,592
503,516,13,597,597
516,529,13,676,596
529,531,2,739,601
531,542,11,808,584
542,547,5,881,595
547,586,39,201,742
586,587,1,387,767
587,589,2,501,766
589,591,2,616,766
591,592,1,684,766
592,593,1,774,768
593,594,1,876,765
594,596,2,978,758
596,602,6,1086,743
602,623,21,1120,708
623,638,15,1189,650
638,639,1,879,669
639,640,1,678,692
640,641,1,524,704
641,643,2,384,713
643,659,16,249,732
659,677,18,202,767
677,683,6,257,774
683,693,10,315,749
693,704,11,362,765
704,706,2,421,769
706,715,9,504,765
715,718,3,565,768
718,721,3,616,765
721,734,13,674,753
734,758,24,764,763
758,766,8,810,772
766,785,19,893,770
785,789,4,1002,760
789,796,7,1058,747
796,816,20,855,240
816,824,8,924,260
824,841,17,976,260
841,842,1,1029,373
842,843,1,1060,456
843,845,2,1100,559
845,847,2,1135,637
847,872,25,1158,664
872,875,3,1188,626
875,891,16,1244,581
891,904,13,1282,554
904,907,3,1221,529
907,919,12,1144,513
919,921,2,1166,472
921,922,1,1096,436
922,924,2,974,352
924,927,3,911,276
927,933,6,948,216
933,946,13,1030,239
946,948,2,1084,243
948,962,14,1164,244
962,997,35,1210,250
997,1077,80,1210,262
1077,1078,1,1089,248
1078,1079,1,993,245
1079,1080,1,919,243
1080,1081,1,828,244
1081,1082,1,664,251
1082,1083,1,530,263
1083,1085,2,423,274
1085,1087,2,335,291
1087,1090,3,267,298
1090,1101,11,185,298
1101,1106,5,245,312
1106,1108,2,297,321
1108,1127,19,334,318
1127,1131,4,402,301
1131,1141,10,442,302
1141,1142,1,518,292
1142,1143,1,673,243
1143,1144,1,787,207
1144,1145,1,878,178
1145,1147,2,983,144
1147,1149,2,1084,116
1149,1156,7,1162,96
1156,1176,20,1223,66
1176,1200,24,1293,60
