StartTime,EndTime,Duration,X,Y
0,10,10,237,239
10,33,23,256,258
33,43,10,230,273
43,49,6,289,253
49,79,30,352,268
79,81,2,458,273
81,83,2,543,280
83,89,6,616,273
89,92,3,679,269
92,95,3,736,270
95,97,2,820,264
97,99,2,909,256
99,101,2,954,261
101,132,31,537,318
132,133,1,600,347
133,135,2,681,424
135,136,1,775,526
136,137,1,839,602
137,138,1,902,681
138,140,2,964,758
140,142,2,1009,812
142,152,10,1063,850
152,161,9,1094,821
161,175,14,1143,769
175,179,4,1200,731
179,184,5,1257,715
184,186,2,1312,708
186,202,16,1343,667
202,204,2,1303,647
204,206,2,1244,642
206,227,21,1131,617
227,230,3,1096,578
230,232,2,1060,525
232,234,2,1022,481
234,238,4,977,427
238,240,2,887,409
240,242,2,780,415
242,244,2,684,409
244,246,2,601,397
246,261,15,489,357
261,272,11,551,352
272,291,19,618,333
291,300,9,662,351
300,302,2,712,357
302,304,2,786,357
304,306,2,857,358
306,325,19,932,356
325,335,10,1006,347
335,337,2,1077,356
337,351,14,1145,346
351,363,12,1181,343
363,365,2,1109,359
365,366,1,975,372
366,367,1,897,379
367,369,2,782,393
369,371,2,673,394
371,372,1,585,384
372,373,1,500,378
373,387,14,169,206
387,395,8,193,218
395,402,7,161,192
402,413,11,172,193
413,417,4,128,212
417,419,2,170,237
419,420,1,298,313
420,421,1,475,412
421,422,1,619,491
422,423,1,784,583
423,424,1,897,647
424,426,2,1000,707
426,431,5,1074,756
431,446,15,1116,770
446,465,19,1162,697
465,487,22,1173,631
487,496,9,1215,594
496,508,12,1269,546
508,521,13,1289,504
521,523,2,1296,463
523,525,2,1236,464
525,552,27,1141,422
552,562,10,1132,354
562,570,8,1140,308
570,571,1,853,273
571,572,1,650,246
572,573,1,508,226
573,575,2,370,203
575,589,14,243,184
589,632,43,176,232
632,635,3,173,268
635,637,2,247,277
637,639,2,334,279
639,643,4,431,276
643,648,5,489,274
648,664,16,795,172
664,680,16,845,168
680,681,1,900,241
681,682,1,978,397
682,683,1,1015,468
683,684,1,1039,549
684,686,2,1077,665
686,690,4,1101,770
690,714,24,1084,804
714,721,7,1106,771
721,736,15,1163,712
736,751,15,1224,661
751,769,18,1256,607
769,778,9,1289,572
778,793,15,1298,508
793,795,2,1220,449
795,797,2,1119,379
797,799,2,1039,327
799,803,4,973,277
803,817,14,918,219
817,827,10,978,173
827,829,2,1031,179
829,840,11,1105,185
840,843,3,1173,185
843,862,19,1267,177
862,891,29,1312,177
891,892,1,1132,192
892,893,1,999,205
893,894,1,895,215
894,896,2,798,224
896,898,2,707,229
898,900,2,623,226
900,902,2,517,224
902,904,2,443,221
904,906,2,385,219
906,917,11,307,229
917,925,8,285,230
925,930,5,317,220
930,965,35,825,203
965,967,2,891,233
967,968,1,915,262
968,969,1,937,354
969,970,1,962,427
970,971,1,987,513
971,973,2,1040,618
973,975,2,1073,702
975,986,11,1096,774
986,1007,21,1073,754
1007,1012,5,1118,717
1012,1023,11,1168,695
1023,1033,10,1225,630
1033,1044,11,1264,612
1044,1052,8,1220,582
1052,1064,12,1279,537
1064,1084,20,1294,485
1084,1091,7,1315,450
1091,1092,1,1280,437
1092,1093,1,1204,419
1093,1094,1,1102,332
1094,1096,2,1037,237
1096,1108,12,1008,148
1108,1139,31,994,191
1139,1155,16,1015,220
1155,1165,10,1108,212
1165,1170,5,1156,206
1170,1184,14,1223,216
1184,1187,3,1216,242
1187,1199,12,1280,222
1199,1200,1,1220,214
