StartTime,EndTime,Duration,X,Y
0,1,1,1159,223
1,28,27,384,294
28,38,10,422,288
38,44,6,474,308
44,48,4,516,336
48,62,14,598,312
62,71,9,670,299
71,73,2,712,328
73,75,2,800,413
75,77,2,876,528
77,79,2,933,605
79,81,2,997,641
81,83,2,1091,663
83,93,10,1154,698
93,113,20,1130,624
113,130,17,1190,561
130,140,10,1237,526
140,151,11,1266,491
151,156,5,1321,457
156,161,5,1349,430
161,164,3,1289,418
164,170,6,1215,404
170,187,17,1134,369
187,194,7,1152,315
194,195,1,1155,268
195,196,1,1020,294
196,198,2,895,315
198,200,2,800,315
200,204,4,731,319
204,214,10,683,336
214,225,11,752,324
225,227,2,802,323
227,229,2,856,326
229,233,4,919,328
233,244,11,985,344
244,255,11,1074,339
255,269,14,1162,325
269,276,7,1201,341
276,298,22,146,163
298,310,12,159,199
310,311,1,271,266
311,312,1,496,413
312,313,1,666,524
313,314,1,793,608
314,315,1,891,672
315,317,2,991,737
317,320,3,1076,787
320,346,26,1102,791
346,359,13,1137,740
359,375,16,1176,681
375,392,17,1224,614
392,396,4,1185,566
396,401,5,1121,545
401,402,1,1036,537
402,403,1,963,525
403,405,2,842,501
405,407,2,688,465
407,409,2,596,440
409,411,2,542,432
411,413,2,493,429
413,415,2,442,417
415,418,3,385,387
418,425,7,334,333
425,455,30,280,251
455,457,2,372,224
457,459,2,457,213
459,474,15,535,202
474,476,2,623,215
476,478,2,701,238
478,482,4,767,241
482,484,2,836,219
484,488,4,886,207
488,490,2,842,269
490,496,6,778,341
496,499,3,821,291
499,503,4,869,252
503,507,4,924,229
507,509,2,1035,230
509,511,2,1118,231
511,514,3,1177,222
514,519,5,1247,218
519,525,6,1307,203
525,526,1,1156,198
526,527,1,1030,205
527,528,1,917,211
528,529,1,813,217
529,531,2,701,217
531,533,2,631,227
533,536,3,572,233
536,538,2,505,237
538,540,2,410,240
540,544,4,317,248
544,546,2,268,243
546,548,2,490,257
548,550,2,552,255
550,562,12,605,244
562,564,2,668,237
564,566,2,742,243
566,568,2,858,254
568,585,17,941,243
585,590,5,976,225
590,591,1,997,343
591,592,1,1014,448
592,593,1,1036,562
593,595,2,1056,668
595,618,23,1063,779
618,632,14,1127,736
632,647,15,1205,676
647,655,8,1237,623
655,676,21,1270,576
676,694,18,1266,521
694,710,16,1274,453
710,712,2,1244,425
712,713,1,965,353
713,714,1,803,318
714,715,1,674,281
715,717,2,558,253
717,719,2,479,243
719,740,21,400,219
740,742,2,448,230
742,744,2,516,240
744,755,11,608,234
755,757,2,657,226
757,759,2,744,234
759,761,2,827,242
761,768,7,894,249
768,772,4,968,235
772,774,2,1015,232
774,794,20,1089,232
794,806,12,1154,231
806,807,1,1032,236
807,808,1,934,248
808,810,2,818,261
810,812,2,707,271
812,814,2,642,261
814,816,2,583,250
816,817,1,530,255
817,833,16,396,153
833,856,23,433,131
856,858,2,467,180
858,859,1,564,255
859,860,1,635,312
860,861,1,724,386
861,862,1,832,475
862,863,1,924,550
863,865,2,1003,641
865,867,2,1051,734
867,884,17,1047,801
884,900,16,1100,739
900,915,15,1146,695
915,925,10,1198,644
925,949,24,1235,590
949,959,10,1248,525
959,960,1,1079,446
960,961,1,903,377
961,962,1,782,328
962,964,2,669,284
964,966,2,587,256
966,970,4,525,226
970,984,14,455,163
984,994,10,537,129
994,997,3,572,149
997,999,2,641,156
999,1001,2,704,161
1001,1005,4,773,166
1005,1009,4,821,156
1009,1011,2,923,180
1011,1013,2,998,190
1013,1016,3,1059,188
1016,1019,3,1112,172
1019,1025,6,1194,161
1025,1032,7,1254,160
1032,1033,1,1123,161
1033,1034,1,930,167
1034,1035,1,787,172
1035,1036,1,674,175
1036,1038,2,563,175
1038,1041,3,465,169
1041,1043,2,402,167
1043,1045,2,305,168
1045,1057,12,198,175
1057,1075,18,146,174
1075,1081,6,220,172
1081,1087,6,261,179
1087,1089,2,320,180
1089,1091,2,432,178
1091,1093,2,509,169
1093,1118,25,852,190
1118,1128,10,903,190
1128,1134,6,947,181
1134,1135,1,975,335
1135,1136,1,997,455
1136,1138,2,1023,580
1138,1140,2,1066,672
1140,1146,6,1103,740
1146,1163,17,1085,765
1163,1181,18,1131,717
1181,1200,19,1201,656
