StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,35,35,1212,570,1225,225
111,138,27,1225,225,210,317
182,210,28,210,317,1310,483
323,349,26,1310,483,1237,320
655,682,27,1237,320,543,248
