StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
140,175,35,161,143,610,180
242,277,35,610,180,1170,92
289,319,30,1170,92,933,211
325,360,35,933,211,702,433
391,431,40,702,433,1182,161
