StartTime,EndTime,Duration,X,Y
0,17,17,1270,57
17,29,12,1203,52
29,30,1,918,173
30,31,1,750,233
31,32,1,642,270
32,34,2,552,298
34,54,20,442,306
54,61,7,513,310
61,66,5,576,300
66,67,1,623,289
67,68,1,719,257
68,69,1,861,208
69,70,1,943,180
70,72,2,1064,141
72,74,2,1148,133
74,88,14,1231,131
88,97,9,1265,94
97,114,17,1169,68
114,116,2,1227,70
116,119,3,1302,87
119,126,7,1367,98
126,137,11,1416,60
137,145,8,1370,92
145,147,2,1316,76
147,149,2,1247,76
149,169,20,1165,57
169,229,60,1193,44
229,232,3,1229,86
232,238,6,1290,88
238,280,42,1351,65
280,281,1,1261,93
281,282,1,1036,156
282,283,1,863,196
283,284,1,745,225
284,286,2,626,253
286,288,2,532,275
288,300,12,479,283
300,317,17,549,284
317,322,5,624,282
322,338,16,678,273
338,351,13,727,298
351,360,9,772,291
360,473,113,838,272
473,499,26,847,268
499,503,4,906,260
503,521,18,801,250
521,522,1,869,241
522,523,1,967,253
523,525,2,1100,258
525,527,2,1195,264
527,535,8,1232,285
535,545,10,1202,290
545,549,4,1272,271
549,560,11,1334,273
560,562,2,1290,212
562,564,2,1249,152
564,579,15,1182,79
579,581,2,1125,142
581,584,3,1087,194
584,598,14,1046,248
598,600,2,1121,180
600,602,2,1180,113
602,616,14,1227,59
616,618,2,1278,72
618,620,2,1342,68
620,641,21,1425,49
641,644,3,1358,60
644,646,2,1300,62
646,664,18,1185,46
664,666,2,1251,40
666,668,2,1362,41
668,672,4,1417,46
672,674,2,1352,58
674,690,16,1232,67
690,691,1,1119,118
691,693,2,1020,170
693,695,2,926,219
695,698,3,870,248
698,705,7,810,279
705,725,20,340,218
725,729,4,403,223
729,741,12,434,220
741,753,12,493,224
753,767,14,563,226
767,771,4,637,240
771,775,4,719,251
775,787,12,776,248
787,801,14,862,227
801,806,5,924,219
806,842,36,997,214
842,856,14,1082,218
856,879,23,1149,213
879,899,20,1173,262
899,917,18,1236,213
917,933,16,1296,164
933,935,2,1252,122
935,993,58,1184,56
993,1006,13,1169,107
1006,1041,35,1173,62
1041,1043,2,1260,77
1043,1046,3,1336,74
1046,1090,44,1408,56
1090,1092,2,1338,66
1092,1103,11,1239,77
1103,1105,2,1289,58
1105,1109,4,1369,51
1109,1116,7,1418,46
1116,1118,2,1338,59
1118,1121,3,1251,80
1121,1143,22,1184,88
1143,1145,2,1088,157
1145,1147,2,983,235
1147,1151,4,910,287
1151,1162,11,838,304
1162,1178,16,497,414
1178,1192,14,576,420
1192,1195,3,625,418
1195,1200,5,672,400
