StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
223,249,26,1174,230,1199,148
265,291,26,1199,148,201,742
547,586,39,201,742,1158,664
847,872,25,1158,664,1210,250
962,997,35,1210,250,1210,262
