StartTime,EndTime,Duration,X,Y
0,14,14,1183,574
14,26,12,1249,529
26,33,7,1301,499
33,37,4,1351,469
37,55,18,1392,441
55,56,1,1098,621
56,57,1,898,688
57,58,1,792,621
58,60,2,684,562
60,62,2,602,522
62,71,9,522,497
71,81,10,456,463
81,103,22,382,439
103,131,28,318,434
131,148,17,387,445
148,159,11,451,455
159,170,11,511,437
170,191,21,874,502
191,200,9,937,508
200,202,2,968,547
202,204,2,993,595
204,206,2,1057,689
206,209,3,1103,764
209,223,14,1130,795
223,245,22,1184,732
245,255,10,1211,681
255,260,5,1175,647
260,261,1,931,622
261,262,1,735,583
262,263,1,593,554
263,264,1,487,533
264,266,2,365,546
266,277,11,251,543
277,291,14,227,577
291,309,18,218,618
309,317,8,227,566
317,400,83,213,611
400,429,29,249,617
429,450,21,538,722
450,460,10,495,719
460,462,2,597,735
462,464,2,700,750
464,465,1,837,774
465,467,2,941,791
467,469,2,1029,801
469,474,5,1099,805
474,491,17,1164,770
491,501,10,1209,724
501,529,28,1220,649
529,547,18,1205,563
547,569,22,1192,501
569,570,1,928,585
570,571,1,754,642
571,572,1,630,675
572,574,2,505,716
574,576,2,411,752
576,590,14,328,778
590,638,48,287,722
638,640,2,403,720
640,642,2,509,710
642,644,2,580,708
644,654,10,653,718
654,656,2,709,712
656,665,9,802,714
665,684,19,891,706
684,688,4,951,702
688,698,10,1023,712
698,701,3,1088,711
701,707,6,420,519
707,730,23,467,512
730,735,5,515,520
735,736,1,550,533
736,737,1,651,570
737,738,1,815,635
738,739,1,932,681
739,741,2,1046,731
741,743,2,1127,779
743,767,24,1149,767
767,781,14,1190,698
781,792,11,1227,639
792,819,27,1215,581
819,825,6,1225,533
825,841,16,1285,474
841,850,9,1239,421
850,851,1,963,495
851,852,1,785,545
852,853,1,658,565
853,855,2,537,589
855,858,3,438,622
858,896,38,347,615
896,914,18,402,628
914,929,15,492,615
929,943,14,540,612
943,970,27,437,548
970,982,12,316,373
982,992,10,365,367
992,1003,11,410,356
1003,1017,14,469,344
1017,1019,2,512,357
1019,1020,1,652,449
1020,1021,1,720,479
1021,1023,2,827,536
1023,1025,2,944,593
1025,1027,2,1055,638
1027,1048,21,1154,680
1048,1069,21,1227,622
1069,1074,5,1266,586
1074,1093,19,1329,525
1093,1097,4,1375,493
1097,1099,2,1307,482
1099,1111,12,1206,466
1111,1112,1,901,446
1112,1113,1,710,430
1113,1114,1,577,414
1114,1116,2,450,398
1116,1118,2,355,391
1118,1156,38,234,377
1156,1169,13,193,371
1169,1194,25,264,359
1194,1200,6,314,380
