StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
81,112,31,268,234,932,317
125,152,27,932,317,1056,326
157,189,32,1056,326,1350,126
336,364,28,1350,126,1406,214
418,454,36,1406,214,1175,718
462,495,33,1175,718,1379,104
630,662,32,1379,104,1230,177
842,871,29,1230,177,1231,34
884,910,26,1231,34,1246,281
