StartTime,EndTime,Duration,X,Y
0,26,26,709,399
26,32,6,755,403
32,33,1,798,415
33,35,2,921,471
35,37,2,1023,517
37,39,2,1103,556
39,47,8,1170,571
47,72,25,1188,544
72,87,15,1241,509
87,104,17,1251,467
104,116,12,1253,396
116,140,24,1154,322
140,144,4,1202,300
144,145,1,966,377
145,146,1,806,410
146,147,1,712,425
147,149,2,612,446
149,180,31,528,431
180,182,2,601,422
182,218,36,706,409
218,235,17,783,424
235,247,12,310,629
247,252,5,365,638
252,262,10,451,628
262,278,16,521,625
278,289,11,611,621
289,290,1,669,618
290,291,1,794,620
291,292,1,901,629
292,294,2,998,642
294,311,17,1105,677
311,314,3,1146,646
314,325,11,1197,665
325,328,3,1259,633
328,333,5,1318,600
333,350,17,1371,557
350,357,7,1395,523
357,359,2,1346,505
359,361,2,1289,486
361,363,2,1224,464
363,382,19,1136,413
382,400,18,1125,352
400,421,21,1180,285
421,423,2,1224,264
423,426,3,1288,252
426,441,15,1347,213
441,452,11,1406,179
452,453,1,1076,303
453,454,1,865,387
454,455,1,721,442
455,456,1,622,478
456,458,2,529,511
458,466,8,461,555
466,478,12,427,603
478,490,12,502,594
490,492,2,560,590
492,494,2,610,590
494,500,6,335,757
500,504,4,415,765
504,507,3,473,764
507,515,8,516,762
515,531,16,574,747
531,533,2,706,737
533,534,1,805,739
534,536,2,928,718
536,538,2,1039,704
538,541,3,1104,685
541,547,6,1138,654
547,553,6,1115,651
553,557,4,1175,654
557,559,2,1214,578
559,565,6,1233,542
565,569,4,1206,588
569,583,14,1252,521
583,594,11,1221,467
594,611,17,1158,449
611,612,1,842,697
612,613,1,652,775
613,614,1,527,823
614,616,2,431,843
616,622,6,355,826
622,640,18,358,755
640,643,3,427,735
643,647,4,481,727
647,653,6,533,733
653,660,7,566,738
660,662,2,491,727
662,664,2,378,726
664,666,2,322,734
666,669,3,268,741
669,686,17,209,747
686,692,6,270,745
692,701,9,320,742
701,715,14,393,748
715,717,2,451,764
717,722,5,516,777
722,724,2,583,470
724,737,13,668,446
737,751,14,727,437
751,767,16,793,445
767,770,3,850,437
770,778,8,893,422
778,780,2,958,493
780,782,2,1024,580
782,784,2,1067,635
784,787,3,1110,673
787,799,12,1136,683
799,805,6,1115,696
805,807,2,1175,661
807,814,7,1218,657
814,821,7,1280,595
821,830,9,1288,537
830,837,7,1319,478
837,844,7,1319,441
844,851,7,1262,460
851,871,20,1175,423
871,883,12,1153,367
883,886,3,1228,330
886,890,4,1263,306
890,907,17,1165,306
907,917,10,1176,228
917,934,17,1172,187
934,935,1,1033,252
935,936,1,948,307
936,938,2,852,371
938,941,3,768,421
941,965,24,687,453
965,984,19,662,497
984,991,7,248,257
991,1009,18,304,251
1009,1026,17,347,242
1026,1027,1,389,262
1027,1028,1,536,374
1028,1029,1,677,481
1029,1030,1,800,574
1030,1031,1,887,641
1031,1033,2,963,722
1033,1035,2,1015,781
1035,1052,17,1078,810
1052,1061,9,1122,771
1061,1084,23,1184,700
1084,1099,15,1224,643
1099,1112,13,1278,589
1112,1129,17,1293,529
1129,1149,20,1314,455
1149,1163,14,1312,398
1163,1178,15,1350,335
1178,1200,22,1354,261
