StartTime,EndTime,Duration,X,Y
0,23,23,1365,314
23,39,16,1320,243
39,43,4,1298,207
43,44,1,1252,223
44,45,1,1126,244
45,46,1,963,265
46,47,1,841,280
47,48,1,748,291
48,50,2,641,302
50,52,2,529,315
52,54,2,458,319
54,56,2,396,312
56,58,2,332,305
58,81,23,227,260
81,112,31,268,234
112,125,13,350,242
125,152,27,932,317
152,157,5,998,328
157,189,32,1056,326
189,194,5,1094,333
194,196,2,1118,393
196,198,2,1153,473
198,200,2,1184,542
200,208,8,1204,605
208,220,12,1173,623
220,237,17,1209,565
237,250,13,1228,508
250,262,12,1298,467
262,268,6,1361,437
268,280,12,1388,407
280,294,14,1410,353
294,304,10,1297,332
304,326,22,1251,257
326,336,10,1314,196
336,364,28,1350,126
364,370,6,1337,72
370,371,1,1173,129
371,372,1,1052,182
372,373,1,961,223
373,375,2,867,267
375,377,2,784,314
377,392,15,707,329
392,394,2,649,345
394,396,2,597,366
396,399,3,537,390
399,412,13,489,430
412,418,6,1355,219
418,454,36,1406,214
454,455,1,1359,340
455,456,1,1324,430
456,457,1,1296,502
457,459,2,1260,600
459,462,3,1226,694
462,495,33,1175,718
495,504,9,1179,662
504,517,13,1229,613
517,533,16,1238,545
533,553,20,1283,479
553,567,14,1330,413
567,581,14,1346,363
581,601,20,1375,289
601,611,10,1385,232
611,630,19,1380,179
630,662,32,1379,104
662,682,20,1410,50
682,683,1,1286,111
683,684,1,1168,148
684,685,1,1033,184
685,686,1,918,215
686,687,1,704,263
687,688,1,552,300
688,689,1,441,330
689,690,1,360,346
690,704,14,258,125
704,727,23,231,158
727,735,8,282,180
735,738,3,325,205
738,740,2,381,225
740,741,1,605,338
741,742,1,767,426
742,743,1,889,495
743,744,1,1008,566
744,746,2,1118,634
746,748,2,1204,682
748,757,9,1234,711
757,780,23,1187,670
780,794,14,1216,606
794,814,20,1266,555
814,826,12,1300,498
826,833,7,1329,449
833,835,2,1377,376
835,838,3,1419,316
838,840,2,1394,136
840,842,2,1328,174
842,871,29,1230,177
871,884,13,1232,118
884,910,26,1231,34
910,911,1,1015,70
911,912,1,828,101
912,913,1,654,135
913,914,1,528,161
914,916,2,412,181
916,918,2,334,191
918,921,3,264,225
921,925,4,224,288
925,928,3,249,327
928,952,24,850,161
952,959,7,885,170
959,960,1,961,250
960,962,2,1032,366
962,964,2,1091,467
964,965,1,1119,533
965,967,2,1149,647
967,987,20,1160,760
987,1002,15,1207,701
1002,1017,15,1265,651
1017,1030,13,1325,607
1030,1043,13,1363,559
1043,1045,2,1305,527
1045,1053,8,1210,516
1053,1062,9,1173,493
1062,1084,22,1187,417
1084,1090,6,1220,365
1090,1119,29,1246,281
1119,1140,21,1250,190
1140,1147,7,1258,136
1147,1162,15,1300,86
1162,1175,13,1300,51
1175,1176,1,1222,82
1176,1177,1,1129,114
1177,1178,1,1041,148
1178,1179,1,902,207
1179,1180,1,791,259
1180,1182,2,680,316
1182,1184,2,601,370
1184,1195,11,531,408
1195,1200,5,1137,236
