StartTime,EndTime,Duration,X,Y
0,8,8,1232,293
8,9,1,1055,311
9,10,1,857,317
10,11,1,665,322
11,12,1,530,325
12,14,2,405,329
14,21,7,273,335
21,32,11,214,346
32,33,1,253,355
33,34,1,538,494
34,35,1,744,595
35,36,1,887,666
36,37,1,999,726
37,38,1,1078,770
38,40,2,1164,811
40,46,6,1212,839
46,63,17,1163,767
63,77,14,1224,711
77,87,10,1312,663
87,103,16,1333,613
103,123,20,1384,557
123,137,14,1314,499
137,138,1,1231,488
138,139,1,1055,453
139,140,1,879,416
140,141,1,726,383
141,142,1,608,367
142,144,2,486,360
144,146,2,390,355
146,154,8,310,321
154,172,18,220,312
172,190,18,190,353
190,203,13,233,359
203,229,26,305,353
229,253,24,377,355
253,275,22,426,350
275,286,11,1145,444
286,302,16,1204,448
302,303,1,1196,529
303,304,1,1178,604
304,306,2,1150,713
306,308,2,1124,796
308,323,15,1127,823
323,341,18,1193,756
341,366,25,1272,679
366,381,15,1297,627
381,382,1,1093,596
382,383,1,867,541
383,384,1,708,507
384,385,1,598,484
385,387,2,494,461
387,391,4,398,443
391,403,12,336,434
403,452,49,258,449
452,464,12,306,449
464,479,15,388,448
479,482,3,443,446
482,497,15,533,449
497,500,3,590,458
500,511,11,673,440
511,526,15,735,424
526,547,21,809,414
547,554,7,860,431
554,565,11,769,354
565,584,19,818,334
584,597,13,879,331
597,603,6,928,329
603,605,2,974,393
605,607,2,1024,499
607,609,2,1087,635
609,629,20,1156,727
629,642,13,1206,676
642,668,26,1254,605
668,669,1,1266,571
669,670,1,1188,548
670,671,1,1046,514
671,673,2,875,475
673,675,2,741,448
675,677,2,645,420
677,753,76,556,339
753,763,10,619,352
763,784,21,678,359
784,810,26,557,359
810,815,5,623,371
815,820,5,667,383
820,827,7,737,379
827,833,6,379,348
833,850,17,447,339
850,855,5,514,328
855,858,3,567,349
858,860,2,660,418
860,862,2,750,487
862,863,1,846,561
863,864,1,942,636
864,866,2,1032,709
866,880,14,1142,781
880,897,17,1188,752
897,910,13,1261,699
910,932,22,1321,632
932,935,3,1254,610
935,953,18,1196,573
953,968,15,1209,511
968,973,5,1214,468
973,974,1,1168,477
974,975,1,962,486
975,976,1,791,479
976,977,1,664,474
977,979,2,526,466
979,982,3,424,448
982,1000,18,374,410
1000,1021,21,426,374
1021,1045,24,453,365
1045,1057,12,519,371
1057,1069,12,576,366
1069,1078,9,633,380
1078,1100,22,702,387
1100,1121,21,544,443
1121,1137,16,603,426
1137,1142,5,679,441
1142,1158,16,748,429
1158,1162,4,811,442
1162,1177,15,875,430
1177,1187,10,935,422
1187,1189,2,1033,480
1189,1191,2,1100,534
1191,1200,9,1168,593
