StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,33,33,1109,232,1227,205
175,202,27,1227,205,1190,39
218,262,44,1190,39,1408,287
444,469,25,1408,287,1222,112
494,534,40,1222,112,1400,107
1058,1096,38,1400,107,827,246
1119,1161,42,827,246,1178,712
