StartTime,EndTime,Duration,X,Y
0,33,33,1109,232
33,35,2,1157,253
35,36,1,1177,286
36,37,1,1188,393
37,38,1,1196,476
38,40,2,1207,602
40,43,3,1217,706
43,56,13,1207,745
56,71,15,1171,699
71,86,15,1203,660
86,105,19,1258,604
105,124,19,1310,538
124,128,4,1307,497
128,140,12,1205,463
140,158,18,1209,385
158,175,17,1219,305
175,202,27,1227,205
202,218,16,1235,136
218,262,44,1190,39
262,264,2,1171,113
264,266,2,1150,168
266,269,3,1112,228
269,276,7,1076,271
276,282,6,272,342
282,304,22,206,279
304,326,22,274,305
326,328,2,388,353
328,329,1,526,404
329,330,1,618,439
330,331,1,712,475
331,332,1,893,549
332,333,1,1018,601
333,335,2,1134,649
335,338,3,1227,688
338,358,20,1271,676
358,374,16,1202,615
374,390,16,1195,552
390,409,19,1230,492
409,418,9,1294,445
418,430,12,1327,410
430,444,14,1383,367
444,469,25,1408,287
469,477,8,1396,231
477,486,9,1412,186
486,494,8,1319,160
494,534,40,1222,112
534,535,1,1162,102
535,536,1,985,149
536,537,1,810,195
537,538,1,676,231
538,539,1,574,257
539,541,2,434,267
541,543,2,318,271
543,557,14,229,328
557,567,10,556,223
567,572,5,534,259
572,577,5,575,207
577,584,7,624,177
584,601,17,652,216
601,607,6,687,218
607,608,1,801,352
608,609,1,912,485
609,610,1,1004,591
610,611,1,1070,669
611,613,2,1134,742
613,625,12,1143,746
625,636,11,1199,673
636,651,15,1195,605
651,671,20,1197,524
671,682,11,1211,490
682,693,11,1265,454
693,706,13,1314,406
706,726,20,1369,357
726,742,16,1418,295
742,745,3,1430,248
745,747,2,1374,240
747,749,2,1306,239
749,769,20,1219,218
769,776,7,1246,159
776,797,21,1245,83
797,815,18,1278,28
815,816,1,1219,44
816,817,1,1089,58
817,818,1,970,82
818,819,1,858,96
819,820,1,762,111
820,821,1,690,128
821,823,2,581,149
823,825,2,494,174
825,828,3,426,203
828,836,8,353,231
836,855,19,1233,187
855,868,13,1280,170
868,870,2,1273,239
870,872,2,1250,393
872,873,1,1236,485
873,874,1,1220,587
874,876,2,1208,686
876,900,24,1178,765
900,917,17,1189,699
917,934,17,1253,646
934,953,19,1288,578
953,971,18,1346,514
971,984,13,1354,452
984,1005,21,1329,382
1005,1023,18,1372,330
1023,1040,17,1400,259
1040,1058,18,1399,190
1058,1096,38,1400,107
1096,1097,1,1326,106
1097,1098,1,1201,124
1098,1099,1,1114,135
1099,1101,2,1018,161
1101,1119,18,908,217
1119,1161,42,827,246
1161,1162,1,938,397
1162,1163,1,1010,495
1163,1164,1,1066,572
1164,1166,2,1127,654
1166,1191,25,1178,712
1191,1200,9,1164,667
