StartTime,EndTime,Duration,X,Y
0,17,17,1175,637
17,38,21,1240,565
38,46,8,1277,518
46,63,17,1331,463
63,78,15,1376,415
78,88,10,1415,360
88,90,2,1332,343
90,101,11,1239,309
101,114,13,1188,284
114,127,13,1229,220
127,129,2,1315,184
129,131,2,1398,155
131,132,1,1440,140
132,133,1,1279,112
133,134,1,1157,150
134,135,1,1067,177
135,137,2,968,206
137,140,3,881,230
140,154,14,818,251
154,171,17,1174,299
171,172,1,1135,294
172,173,1,996,291
173,174,1,863,287
174,175,1,733,288
175,176,1,586,292
176,178,2,427,308
178,180,2,331,310
180,189,9,251,316
189,202,13,214,346
202,203,1,511,465
203,204,1,715,542
204,205,1,863,598
205,206,1,973,641
206,208,2,1076,683
208,210,2,1156,714
210,220,10,1195,698
220,236,16,1161,632
236,249,13,1220,617
249,253,4,1282,602
253,272,19,1325,557
272,296,24,1253,462
296,303,7,1255,414
303,323,20,1312,324
323,328,5,1251,270
328,344,16,1160,254
344,348,4,1196,203
348,367,19,1274,152
367,384,17,1342,113
384,403,19,1386,39
403,406,3,1315,34
406,414,8,1266,40
414,421,7,1332,49
421,422,1,1282,62
422,423,1,1122,99
423,424,1,1007,126
424,425,1,912,149
425,426,1,842,166
426,427,1,731,193
427,429,2,618,220
429,430,1,535,241
430,437,7,1296,507
437,459,22,1326,528
459,469,10,1355,543
469,471,2,1307,604
471,473,2,1229,687
473,495,22,1163,728
495,506,11,1163,679
506,510,4,1224,670
510,520,10,1270,651
520,523,3,1282,598
523,531,8,1191,587
531,553,22,1162,559
553,566,13,1210,521
566,567,1,902,534
567,568,1,678,545
568,569,1,521,551
569,570,1,411,556
570,581,11,274,549
581,653,72,207,533
653,669,16,225,553
669,671,2,321,520
671,672,1,440,471
672,673,1,531,436
673,674,1,604,409
674,675,1,739,356
675,676,1,847,313
676,678,2,950,272
678,680,2,1035,236
680,687,7,1099,211
687,688,1,1019,254
688,689,1,862,334
689,690,1,761,386
690,691,1,678,430
691,693,2,590,480
693,694,1,460,557
694,696,2,359,620
696,699,3,266,673
699,707,8,1194,420
707,708,1,1138,434
708,709,1,1058,430
709,710,1,950,429
710,711,1,734,429
711,712,1,580,429
712,714,2,450,429
714,716,2,349,431
716,732,16,248,419
732,743,11,293,430
743,761,18,341,426
761,786,25,447,431
786,806,20,514,450
806,807,1,596,463
807,808,1,683,469
808,809,1,767,478
809,810,1,846,490
810,811,1,930,504
811,813,2,1035,531
813,815,2,1126,534
815,825,10,1185,503
825,834,9,1136,480
834,843,9,1198,433
843,849,6,1237,401
849,867,18,1311,366
867,869,2,1261,337
869,883,14,1158,306
883,895,12,1147,232
895,896,1,927,414
896,897,1,786,471
897,899,2,647,508
899,901,2,542,512
901,915,14,474,477
915,934,19,540,449
934,949,15,627,439
949,965,16,696,428
965,977,12,1109,278
977,988,11,1151,302
988,1013,25,1196,322
1013,1014,1,1102,312
1014,1015,1,1012,308
1015,1016,1,934,303
1016,1017,1,844,304
1017,1018,1,641,318
1018,1019,1,506,328
1019,1021,2,392,338
1021,1024,3,298,345
1024,1041,17,220,354
1041,1050,9,278,355
1050,1059,9,338,344
1059,1060,1,374,347
1060,1061,1,448,351
1061,1062,1,599,374
1062,1063,1,776,399
1063,1064,1,898,423
1064,1066,2,1009,452
1066,1069,3,1093,485
1069,1085,16,1168,480
1085,1091,6,1217,463
1091,1106,15,1264,443
1106,1123,17,1307,394
1123,1135,12,1333,359
1135,1136,1,1040,404
1136,1137,1,851,429
1137,1138,1,721,431
1138,1140,2,604,436
1140,1155,15,494,398
1155,1162,7,522,355
1162,1167,5,583,355
1167,1178,11,630,332
1178,1193,15,698,339
1193,1200,7,779,334
