StartTime,EndTime,Duration,X,Y
0,10,10,1192,525
10,22,12,1261,496
22,41,19,1285,434
41,57,16,1230,363
57,67,10,1240,303
67,91,24,1254,210
91,92,1,1192,248
92,93,1,1005,356
93,95,2,865,398
95,112,17,761,387
112,136,24,811,350
136,138,2,856,372
138,149,11,936,372
149,167,18,1018,383
167,184,17,1067,402
184,192,8,1145,400
192,212,20,1185,402
212,214,2,1200,477
214,216,2,1198,539
216,218,2,1188,625
218,241,23,1159,695
241,258,17,1209,637
258,261,3,1252,614
261,269,8,1331,573
269,281,12,1378,537
281,283,2,1303,532
283,303,20,1197,512
303,316,13,1202,452
316,330,14,1233,397
330,338,8,1201,356
338,342,4,1233,305
342,347,5,1239,260
347,348,1,1119,322
348,349,1,993,382
349,351,2,882,417
351,376,25,733,402
376,399,23,707,390
399,402,3,765,399
402,406,4,823,406
406,420,14,908,380
420,431,11,973,384
431,442,11,301,490
442,454,12,342,559
454,469,15,406,572
469,480,11,475,571
480,490,10,538,561
490,491,1,710,604
491,492,1,829,637
492,494,2,945,669
494,496,2,1051,696
496,512,16,1151,696
512,526,14,1219,655
526,536,10,1279,615
536,559,23,1309,553
559,577,18,1365,474
577,579,2,1311,455
579,604,25,1222,399
604,607,3,1215,349
607,608,1,924,387
608,609,1,731,431
609,610,1,596,465
610,612,2,469,498
612,614,2,379,534
614,621,7,323,591
621,666,45,240,578
666,675,9,277,589
675,694,19,207,583
694,703,9,288,582
703,705,2,526,621
705,710,5,520,665
710,718,8,596,629
718,723,5,632,599
723,725,2,682,587
725,727,2,747,600
727,729,2,811,617
729,731,2,906,674
731,733,2,1005,737
733,745,12,1101,814
745,755,10,1152,794
755,773,18,1193,742
773,792,19,1270,683
792,799,7,1329,644
799,821,22,1364,579
821,846,25,1401,499
846,849,3,1393,459
849,850,1,1073,527
850,851,1,856,563
851,852,1,698,588
852,853,1,584,615
853,855,2,478,638
855,857,2,390,668
857,914,57,315,656
914,931,17,422,640
931,972,41,519,626
972,978,6,1353,528
978,979,1,1267,533
979,980,1,1180,536
980,981,1,1104,539
981,982,1,996,543
982,983,1,841,549
983,984,1,731,554
984,986,2,626,559
986,988,2,535,567
988,990,2,450,575
990,992,2,389,577
992,1027,35,279,554
1027,1028,1,436,582
1028,1029,1,605,613
1029,1030,1,762,640
1030,1031,1,882,659
1031,1033,2,1002,677
1033,1035,2,1104,686
1035,1054,19,1174,677
1054,1075,21,1194,601
1075,1085,10,1211,558
1085,1098,13,1253,516
1098,1117,19,1290,454
1117,1134,17,1333,388
1134,1154,20,1375,319
1154,1167,13,1383,257
1167,1170,3,1329,233
1170,1183,13,1241,204
1183,1197,14,1224,123
1197,1200,3,1235,84
