StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
196,255,59,234,311,168,72
477,510,33,168,72,221,36
510,548,38,221,36,942,100
564,604,40,942,100,1189,660
613,641,28,1189,660,1176,624
889,914,25,1176,624,1286,513
