StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
0,36,36,1235,40,1174,768
78,112,34,1174,768,1016,183
233,268,35,1016,183,676,356
289,317,28,676,356,1188,657
353,381,28,1188,657,406,399
475,559,84,406,399,307,213
564,601,37,307,213,351,409
764,806,42,351,409,411,120
