StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
83,153,70,215,147,1039,54
385,453,68,1039,54,1119,54
453,531,78,1119,54,1091,143
642,740,98,1091,143,867,294
782,848,66,867,294,972,330
848,913,65,972,330,1153,341
951,1045,94,1153,341,980,440
1045,1112,67,980,440,1056,482
1112,1182,70,1056,482,161,211
1328,1574,246,161,211,233,157
1574,1647,73,233,157,464,232
1735,1800,65,464,232,444,335
1800,1875,75,444,335,406,410
1875,1944,69,406,410,363,502
1944,2009,65,363,502,277,591
2009,2079,70,277,591,316,660
2079,2148,69,316,660,423,671
2148,2216,68,423,671,649,672
2267,2329,62,649,672,898,673
2385,2448,63,898,673,998,658
2448,2517,69,998,658,1098,654
2517,2585,68,1098,654,1162,653
2585,2649,64,1162,653,201,651
2685,2747,62,201,651,643,687
