StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
75,104,29,167,325,1004,211
212,247,35,1004,211,1066,208
247,276,29,1066,208,924,245
302,348,46,924,245,1046,270
356,381,25,1046,270,1018,319
381,415,34,1018,319,1018,360
415,441,26,1018,360,1049,383
441,474,33,1049,383,1021,437
