StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
14,40,26,181,25,219,46
40,75,35,219,46,203,285
104,140,36,203,285,203,324
140,182,42,203,324,808,188
262,296,34,808,188,962,376
574,600,26,962,376,888,404
600,665,65,888,404,1008,392
687,715,28,1008,392,1061,381
715,741,26,1061,381,1180,368
762,796,34,1180,368,1191,398
796,833,37,1191,398,1160,437
833,877,44,1160,437,1145,476
877,905,28,1145,476,1091,521
905,937,32,1091,521,1052,552
