StartTime,EndTime,Duration,X,Y
0,2,2,814,675
2,3,1,767,621
3,4,1,716,568
4,5,1,660,510
5,7,2,580,432
7,8,1,509,361
8,10,2,439,287
10,12,2,346,183
12,14,2,265,102
14,40,26,181,25
40,75,35,219,46
75,91,16,211,87
91,98,7,208,142
98,104,6,206,205
104,140,36,203,285
140,182,42,203,324
182,190,8,255,307
190,210,20,299,276
210,215,5,356,276
215,219,4,417,276
219,228,9,500,274
228,233,5,557,271
233,237,4,623,263
237,242,5,683,256
242,262,20,762,238
262,296,34,808,188
296,311,15,867,181
311,332,21,911,178
332,351,19,981,171
351,357,6,1044,166
357,373,16,1099,163
373,389,16,1176,161
389,408,19,1225,160
408,410,2,1173,192
410,412,2,1094,219
412,414,2,986,242
414,416,2,862,267
416,418,2,732,295
418,420,2,642,311
420,431,11,599,316
431,436,5,654,307
436,439,3,710,298
439,443,4,771,290
443,460,17,822,276
460,473,13,881,274
473,486,13,938,273
486,502,16,997,269
502,521,19,1064,261
521,540,19,1130,253
540,552,12,1177,255
552,568,16,1098,298
568,574,6,1038,327
574,600,26,962,376
600,665,65,888,404
665,687,22,943,397
687,715,28,1008,392
715,741,26,1061,381
741,762,21,1120,368
762,796,34,1180,368
796,833,37,1191,398
833,877,44,1160,437
877,905,28,1145,476
905,937,32,1091,521
937,985,48,1052,552
985,1000,15,1041,588
