StartTime,EndTime,Duration,X,Y
0,16,16,792,687
16,27,11,649,601
27,31,4,583,508
31,56,25,459,415
56,83,27,318,325
83,153,70,215,147
153,230,77,197,167
230,278,48,309,144
278,288,10,426,144
288,321,33,531,143
321,336,15,656,140
336,340,4,778,140
340,385,45,886,81
385,453,68,1039,54
453,531,78,1119,54
531,555,24,991,106
555,603,48,887,115
603,642,39,996,139
642,740,98,1091,143
740,782,42,967,220
782,848,66,867,294
848,913,65,972,330
913,951,38,1080,330
951,1045,94,1153,341
1045,1112,67,980,440
1112,1182,70,1056,482
1182,1230,48,922,557
1230,1244,14,806,572
1244,1258,14,660,541
1258,1279,21,511,504
1279,1328,49,332,453
1328,1574,246,161,211
1574,1647,73,233,157
1647,1705,58,316,129
1705,1735,30,405,154
1735,1800,65,464,232
1800,1875,75,444,335
1875,1944,69,406,410
1944,2009,65,363,502
2009,2079,70,277,591
2079,2148,69,316,660
2148,2216,68,423,671
2216,2267,51,542,671
2267,2329,62,649,672
2329,2385,56,778,673
2385,2448,63,898,673
2448,2517,69,998,658
2517,2585,68,1098,654
2585,2649,64,1162,653
2649,2652,3,1053,662
2652,2654,2,948,652
2654,2657,3,833,638
2657,2667,10,681,618
2667,2675,8,546,612
2675,2685,10,401,623
2685,2747,62,201,651
2747,2796,49,307,675
2796,2843,47,427,675
2843,2865,22,527,684
2865,2930,65,643,687
2930,2989,59,771,687
2989,3000,11,845,687
